name,testMethods,snapshotTestMethods,assertions,snapshotAssertions,hasOnlyFileST,hasOnlyInlineST,hasBothST
nmfr/optimize-css-assets-webpack-plugin,5,1,11,1,1,0,0
node-gh/gh,61,42,62,42,0,0,1
nodejs/nodejs.dev,239,110,312,110,1,0,0
nteract/nteract,523,4,895,4,1,0,0
nuxt-community/pwa-module,6,3,6,3,1,0,0
nuxt/nuxt.js,919,9,2383,9,1,0,0
nvh95/jest-preview,24,2,34,2,0,1,0
nytimes/kyt,100,10,224,14,1,0,0
oblador/loki,46,2,56,2,0,1,0
octolinker/octolinker,166,33,150,33,1,0,0
okonet/lint-staged,227,58,476,64,0,0,1
omgovich/react-colorful,77,5,130,5,1,0,0
onderceylan/pwa-asset-generator,40,18,44,18,1,0,0
onivim/oni,495,17,220,17,1,0,0
open-source-labs/reactype,80,3,121,3,1,0,0
opensearch-project/opensearch-dashboards,11411,1603,17928,1780,0,0,1
oscarmorrison/md-page,18,18,18,18,1,0,0
outline/outline,856,84,1852,86,1,0,0
outline/rich-markdown-editor,37,23,43,25,1,0,0
pankod/next-boilerplate,28,7,28,7,1,0,0
pankod/superplate,18,1,18,1,0,1,0
paratron/hookrouter,8,4,17,4,1,0,0
patrickhulce/third-party-web,28,3,55,3,0,0,1
paularmstrong/normalizr,71,56,116,96,1,0,0
paullecam/react-leaflet,61,10,116,13,1,0,0
paypal/glamorous,93,39,165,50,1,0,0
peerigon/updtr,219,79,325,105,1,0,0
peggyrayzis/react-native-create-bridge,36,36,36,36,1,0,0
phodal/growth,69,60,74,60,1,0,0
pinterest/querybook,311,111,351,113,1,0,0
pixijs/pixijs,1023,5,3755,5,1,0,0
platane/snk,31,1,40,1,1,0,0
plus1tv/react-anime,4,4,4,4,1,0,0
pmndrs/react-spring,195,17,457,17,0,0,1
pmndrs/react-three-fiber,100,5,350,6,1,0,0
poooi/poi,23,1,28,1,1,0,0
popperjs/popper-core,139,14,198,24,1,0,0
posthog/posthog,1012,5,2026,5,1,0,0
posva/pinia,159,2,497,4,0,1,0
preconstruct/preconstruct,201,172,270,202,0,1,0
prettier/eslint-config-prettier,21,9,24,9,0,1,0
prettier/tslint-config-prettier,6,6,12,6,1,0,0
primer/components,365,65,581,77,1,0,0
primer/react,634,132,964,144,0,0,1
prisma-labs/graphql-request,66,6,83,6,0,0,1
privatenumber/esbuild-loader,46,21,168,34,1,0,0
probablyup/markdown-to-jsx,184,175,219,181,0,0,1
probot/probot,116,7,133,7,1,0,0
produck/svg-captcha,17,4,26,4,1,0,0
pugjs/pug,206,23,135,25,1,0,0
qrohlf/trianglify,27,4,45,4,1,0,0
radix-ui/primitives,196,2,134,2,1,0,0
rahuldkjain/github-profile-readme-generator,78,60,100,60,1,0,0
rainbow-me/rainbow,233,10,46,10,0,1,0
raphamorim/react-ape,30,4,87,4,1,0,0
rcaferati/react-awesome-button,6,4,4,4,1,0,0
rcaferati/react-native-really-awesome-button,10,2,14,2,1,0,0
reach/router,79,7,68,7,1,0,0
react-boilerplate/react-boilerplate-cra-template,99,27,128,27,1,0,0
react-boilerplate/react-boilerplate,293,20,356,20,1,0,0
react-bootstrap-table/react-bootstrap-table2,736,2,1376,2,1,0,0
react-component/calendar,124,13,321,17,1,0,0
react-cosmos/react-cosmos,365,13,369,13,0,0,1
react-cropper/react-cropper,9,1,24,1,1,0,0
react-dropzone/react-dropzone,141,1,400,1,1,0,0
react-figma/react-figma,211,144,255,147,1,0,0
react-ga/react-ga,128,1,307,1,0,1,0
react-grid-layout/react-resizable,21,2,50,2,1,0,0
react-hook-form/react-hook-form,785,7,1565,7,0,0,1
react-materialize/react-materialize,227,104,278,105,1,0,0
react-native-community/cli,224,30,268,34,0,0,1
react-native-community/releases,7,1,9,1,1,0,0
react-native-webview/react-native-webview,9,1,32,1,1,0,0
react-navigation/react-navigation,378,22,998,41,0,1,0
react-syntax-highlighter/react-syntax-highlighter,48,37,51,37,1,0,0
react-tags/react-tags,82,4,114,4,1,0,0
reactjsresources/react-webpack-babel,1,1,1,1,1,0,0
reacttooltip/react-tooltip,17,12,48,12,1,0,0
reakit/reakit,757,238,2393,243,0,1,0
rebassjs/grid,13,13,24,13,1,0,0
rebassjs/rebass,46,10,82,10,1,0,0
recharts/recharts,444,21,761,21,1,0,0
redocly/redoc,213,37,420,42,0,0,1
release-drafter/release-drafter,110,64,200,64,0,1,0
remarkablemark/html-react-parser,71,36,92,36,0,1,0
remirror/remirror,1276,156,2321,190,0,0,1
remix-run/react-router,263,109,395,115,0,0,1
remix-run/remix,475,63,1166,63,0,1,0
renovatebot/renovate,3575,1718,7089,2022,0,0,1
